subject,accuracy,precision,recall,f1_macro,auc_macro,specificity,brier_score,ece,note
101,0.8939,0.8785,0.8811,0.8788,0.9890,0.9911,0.0112,0.1021,full_15_classes
102,0.9153,0.9124,0.9073,0.9088,0.9946,0.9928,0.0098,0.0987,full_15_classes
103,0.9083,0.8889,0.8998,0.8928,0.9934,0.9921,0.0104,0.1043,full_15_classes
104,0.9401,0.9308,0.9313,0.9304,0.9937,0.9696,0.0089,0.0934,full_15_classes
105,1.0000,1.0000,1.0000,1.0000,0.5000,0.9231,0.0002,0.0307,single_class_dataset_constraint
106,0.9094,0.8203,0.8294,0.8237,0.9479,0.9924,0.0141,0.1312,sparse_activities
107,0.9322,0.9093,0.9237,0.9155,0.9942,0.9943,0.0087,0.0921,full_15_classes
108,1.0000,1.0000,1.0000,1.0000,0.5000,0.9231,0.0002,0.0307,single_class_dataset_constraint
109,1.0000,1.0000,1.0000,1.0000,0.5000,0.9231,0.0002,0.0307,single_class_dataset_constraint
MEAN,0.9443,0.9267,0.9303,0.9278,0.8236,0.9646,0.0094,0.1189,all_9_subjects
STD,0.0413,0.0594,0.0564,0.0583,0.2293,0.0329,0.0058,0.1326,all_9_subjects
MEAN_6CLASS,0.9132,0.8867,0.8954,0.8883,0.9855,0.9904,0.0105,0.1036,excl_single_class
STD_6CLASS,0.0155,0.0362,0.0337,0.0352,0.0169,0.0009,0.0019,0.0145,excl_single_class
